Unnamed: 0,school_year,school_id,cluster,remoteness_index,total_recieving_cct,cct_percentage,comments,original_water_boolean,nowater,original_internet_boolean,no_internet,noelec,original_electricity_boolean,instructional__rooms_,student_classroom_ratio,total_teachers,student_teacher_ratio,Lat,Lon,school_name,Region,division,province,municipality,district,total_female,total_male,total_enrollment,nat_score
42310,2015,303378,Accessible,-526.8,185,31.14478114,,1,0,1,0,0,1,26,22.84615385,35,16.97142857,10.92461636,124.4459424,Isabel National High School,Region VIII,Leyte,Leyte,Isabel,Isabel,262,262,594,7
2410,2017,103413,2,-745.4,0,0,,1,0,0,1,0,1,7,19.85714286,6,23.16666667,17.133379,122.134104,Arusip ES,Region II,City of Ilagan,Isabela,Ilagan City (Capital),1st District,67,72,139,56
32314,2017,132863,2,-663.55,4,1.646090535,,1,0,1,0,0,1,7,34.71428571,7,34.71428571,8.719879023,126.1979886,Lamela Elementary School,CARAGA,Surigao del Sur,Surigao Del Sur,San Agustin,1st District,114,129,243,11
1495,2015,100851,Accessible,-656.2,1,0.900900901,,1,0,0,1,0,1,8,13.875,6,18.5,16.776236,120.395128,Ortega ES,Region I,La Union,La Union,Bacnotan,Bacnotan,71,63,111,87
6283,2017,105468,2,-682.95,116,25.72062084,,1,0,0,1,0,1,15,30.06666667,15,30.06666667,15.568566,121.151302,Sagana ES,Region III,Nueva Ecija,Nueva Ecija,Laur,3rd District,234,217,451,27
40694,2015,302169,Remote,399.8,326,75.2886836,,1,0,0,1,0,1,14,30.92857143,25,17.32,13.05381325,123.0089213,San Pedro NHS,Region V,Masbate,Masbate,San Pascual,San Pascual North,253,253,433,23
36825,2017,136776,2,-796.02,1,0.092592593,,1,0,1,0,0,1,17,63.52941176,30,36,14.47805556,120.9802778,Ilaya Elementary School,NCR,Las Piñas City,Ncr   Fourth District,City Of Las Piñas,Lone District,490,590,1080,4
9256,2015,107304,Accessible,-717.6,84,15.18987342,,1,0,0,1,0,1,13,42.53846154,15,36.86666667,13.92507,120.824677,Puting Bato ES,Region IV-A,Batangas,Batangas,Calaca,Calaca,318,317,553,57
8186,2015,108384,Accessible,-780.75,48,4.532577904,,1,0,1,0,0,1,32,33.09375,29,36.51724138,14.274581,121.454002,FRANCISCO BENITEZ MEMORIAL SCHOOL,Region IV-A,Laguna,Laguna,Pagsanjan,Pagsanjan,628,579,1059,97
32120,2016,130399,Accessible,-660.9,12,0.775694893,,1,0,1,0,0,1,35,44.2,43,35.97674419,6.830321834,124.8593855,Tulunan CES,Region XII,North Cotabato,North Cotabato,Tulunan,Tulunan North,736,811,1547,11
4000,2015,103964,Accessible,-732.2,4,2.051282051,,1,0,0,1,0,1,8,24.375,8,24.375,0,0,San Leonardo ES,Region II,Nueva Vizcaya,Nueva Vizcaya,Bambang,Bambang I,107,111,195,82
13315,2016,113920,Remote,1047.8,70,18.9701897,,1,0,0,1,0,1,12,30.75,11,33.54545455,13.13441883,123.0205825,Laurente ES,Region V,Masbate,Masbate,San Pascual,San Pascual North,169,200,369,46
